"target_id","logFC","AveExpr","t","P.Value","adj.P.Val","B","target_id.1","ens_gene","ext_gene","significant"
"ENSMUST00000166875.2",4.17379495061857,-0.662663178751656,3.86056099849862,0.00391338396929856,0.0317707347470415,-2.18781560730525,"ENSMUST00000166875.2","ENSMUSG00000022106","Rcbtb2","Higher in 4x"
"ENSMUST00000238115.2",3.37860629222976,-0.645936104129904,3.79946854013771,0.0042948476728773,0.0334233941681602,-2.18816291542878,"ENSMUST00000238115.2","ENSMUSG00000010663","Fads1","Higher in 4x"
"ENSMUST00000136225.8",3.18133917611622,0.964412900300413,3.46323325315453,0.00722761396142957,0.0441470855487195,-2.18820826918984,"ENSMUST00000136225.8","ENSMUSG00000038644","Pold1","Higher in 4x"
"ENSMUST00000171519.2",5.00177491350144,2.32980046960745,3.46751775392829,0.00717921309453201,0.0439481707154084,-2.18907408013178,"ENSMUST00000171519.2","ENSMUSG00000038543","BC028528","Higher in 4x"
"ENSMUST00000317279.1",3.56396821490228,-2.09009066557344,3.97162367174684,0.00330884551792901,0.0288602589653266,-2.18966032897352,"ENSMUST00000317279.1",NA,NA,"Higher in 4x"
"ENSMUST00000126146.2",-6.0503738523481,3.43049989472764,-3.49107743563927,0.00691906317521283,0.0431074319424219,-2.19030138256375,"ENSMUST00000126146.2","ENSMUSG00000028692","Akr1a1","Higher in WT"
"ENSMUST00000138718.8",-7.72101461408547,-2.13379875067871,-4.94966986532137,0.000814359911526195,0.0138581491089899,-2.19192479024873,"ENSMUST00000138718.8","ENSMUSG00000006005","Tpr","Higher in WT"
"ENSMUST00000129640.2",4.14323501826177,-1.8221680134708,3.93077239596924,0.00351881903941976,0.0298301891090661,-2.19204712930372,"ENSMUST00000129640.2","ENSMUSG00000020248","Nfyb","Higher in 4x"
"ENSMUST00000153423.2",3.79148012026105,-0.74159135327683,3.83243341958842,0.00408435980826391,0.0324729426966797,-2.19291168139744,"ENSMUST00000153423.2","ENSMUSG00000001517","Foxm1","Higher in 4x"
"ENSMUST00000178839.8",3.56232392050599,2.41723235804655,3.42511740059001,0.00767353295529854,0.045579364729852,-2.19315908363812,"ENSMUST00000178839.8","ENSMUSG00000020923","Ubtf","Higher in 4x"
"ENSMUST00000026580.12",4.94904673923432,0.300416926855188,3.73090335175899,0.00477023052749894,0.0353357577966122,-2.19345700221545,"ENSMUST00000026580.12","ENSMUSG00000025507","Pidd1","Higher in 4x"
"ENSMUST00000114130.9",-5.44524852178148,0.465643681595004,-3.57569397432273,0.00606333427243013,0.0402216801812009,-2.19429354522546,"ENSMUST00000114130.9","ENSMUSG00000004221","Ikbkg","Higher in WT"
"ENSMUST00000125192.9",4.63860500068281,0.247941458498132,3.77936298963949,0.00442882945207332,0.0338759769141047,-2.19710195231131,"ENSMUST00000125192.9","ENSMUSG00000020564","Atxn7l1","Higher in 4x"
"ENSMUST00000194306.6",4.1385709639309,-1.42369274920447,3.88634940228147,0.00376327527223734,0.0310629536823329,-2.19740356033874,"ENSMUST00000194306.6","ENSMUSG00000039748","Exo1","Higher in 4x"
"ENSMUST00000168099.9",5.15866670398873,1.30199394061888,3.56835215925957,0.00613297855960049,0.0404735248788676,-2.19779418167694,"ENSMUST00000168099.9","ENSMUSG00000025968","Ndufs1","Higher in 4x"
"ENSMUST00000323152.1",3.32648667551614,-1.43761075208853,3.89306560971642,0.00372519075242531,0.0309244025715057,-2.19895661105407,"ENSMUST00000323152.1",NA,NA,"Higher in 4x"
"ENSMUST00000159772.8",3.76203196431669,1.48161377395979,3.41938429311545,0.00774305547063966,0.0458022042760079,-2.19908664515559,"ENSMUST00000159772.8","ENSMUSG00000021693","Kif2a","Higher in 4x"
"ENSMUST00000168852.2",3.80118577877088,-1.99784917764995,3.945821359051,0.00343986958327102,0.0295309708317408,-2.20058101126901,"ENSMUST00000168852.2","ENSMUSG00000024969","Mark2","Higher in 4x"
"ENSMUST00000129160.8",4.21447880026097,-0.472373945612587,3.83100763689125,0.00409323431679834,0.0324818026752105,-2.20132835593211,"ENSMUST00000129160.8","ENSMUSG00000017724","Etv4","Higher in 4x"
"ENSMUST00000156211.8",4.42679884194892,-1.59853805445056,3.88629466198339,0.00376358736796723,0.0310629536823329,-2.20280437540099,"ENSMUST00000156211.8","ENSMUSG00000086370","Ftx","Higher in 4x"
